entity_name,categories,first_seen
FusionForgeSuite,ERP|LMS,2026-06-02
FusionResource Hub,ERP|HR,2026-06-01
Golden RosterDynamics,HR|Medical,2026-06-02
GoldenBenefit Soft,ERP|HR,2026-06-01
GoldenCare Tech,ERP|Medical,2026-06-01
GoldenChartTech,LMS|Medical,2026-06-01
GoldenClinic Dynamics,HR|Medical,2026-06-01
GoldenRosterPoint,HR|LMS,2026-06-03
GoldenTriageHub,MSP Platform|Medical,2026-06-01
Granite PatientLabs,HR|Medical,2026-06-22
GraniteFilingSoft,ERP|Legal,2026-06-02
HaloFin Core,ERP|HR,2026-06-01
HaloOnboardLogic,HR|MSP Platform,2026-06-02
HaloPlanCloud,ERP|HR,2026-06-02
HaloUptime Flow,HR|MSP Platform,2026-06-01
Harbor ForgeSync,ERP|Medical,2026-06-01
Harbor OnboardSphere,HR|Legal,2026-06-01
Harbor StockBase,ERP|LMS,2026-06-30
HarborBenefitSync,HR|Legal,2026-06-02
Indigo CareApp,LMS|Medical,2026-06-01
IndigoHealth App,Legal|Medical,2026-06-01
IndigoPerform Systems,HR|MSP Platform,2026-06-01
IndigoRosterTech,HR|Medical,2026-06-01
IndigoVitalPoint,MSP Platform|Medical,2026-06-18
Iron BenefitCore,HR|Medical,2026-06-01
Iron CounselDynamics,ERP|Legal,2026-06-01
Iron PlanSystems,ERP|Medical,2026-06-11
IronResourceCloud,ERP|LMS,2026-06-01
IronRoster Tech,HR|LMS,2026-06-05
Juniper BatchSphere,ERP|Legal,2026-06-01
Juniper BenefitDesk,HR|Medical,2026-06-01
Juniper FinApp,ERP|HR,2026-06-04
Juniper MonitorSync,ERP|MSP Platform,2026-06-06
JuniperClinicSolutions,MSP Platform|Medical,2026-06-01
JuniperMonitorSuite,HR|MSP Platform,2026-06-01
JuniperMonitorSystems,MSP Platform|Medical,2026-06-01
JuniperRemoteWorks,MSP Platform|Medical,2026-06-02
Keystone CultureSoft,HR|Legal,2026-06-01
Keystone RxSuite,LMS|Medical,2026-06-03
KeystoneClause Base,LMS|Legal,2026-06-01
Keystone’s VitalLogic,LMS|Medical,2026-06-01
Lattice ResourceDesk,ERP|HR,2026-06-02
LatticeEndpointDynamics,HR|MSP Platform,2026-06-07
LatticeTriage Soft,ERP|Medical,2026-06-01
Lumen LedgerSync,ERP|Medical,2026-06-19
Lumen PatientLabs,MSP Platform|Medical,2026-06-21
Lumen TriageDesk,MSP Platform|Medical,2026-06-01
LumenPlan Core,ERP|LMS,2026-06-01
LumenPlanWorks,ERP|MSP Platform,2026-06-01
Lumén LawCore,HR|Legal,2026-06-11
Meta NodeSoft,LMS|MSP Platform,2026-06-01
Meta PlanPoint,ERP|MSP Platform,2026-06-10
MetaBenefitLogic,HR|Medical,2026-06-22
MetaCaseSync,ERP|Legal,2026-06-01
MetaLearn Base,HR|LMS,2026-06-01
MetaMonitorSystems,MSP Platform|Medical,2026-06-04
MetaShiftCloud,HR|LMS,2026-06-22
MosaicCompli Systems,ERP|Legal,2026-06-03
MosaicPulseDesk,LMS|Medical,2026-06-02
MosaicRemoteSync,HR|MSP Platform,2026-06-01
Nimbus ChainLogic,ERP|Medical,2026-06-01
NimbusCase Labs,ERP|Legal,2026-06-02
NimbusNet Systems,ERP|MSP Platform,2026-06-01
NimbusRemoteCore,ERP|MSP Platform,2026-06-03
North FinDesk,ERP|Medical,2026-06-01
North OnboardHub,HR|LMS,2026-06-03
North TeamTech,HR|MSP Platform,2026-06-01
NorthClause Sync,Legal|MSP Platform,2026-06-02
NorthFin Sphere,ERP|MSP Platform,2026-06-01
NorthMatter Platform,ERP|Legal,2026-06-19
Nova CulturePoint,HR|Legal,2026-06-01
Nova MedDesk,Legal|Medical,2026-06-01
Nova OrderDynamics,ERP|MSP Platform,2026-06-01
Nova PatchTech,LMS|MSP Platform,2026-06-01
NovaBrief Systems,Legal|MSP Platform,2026-06-23
NovaFilingHub,Legal|MSP Platform,2026-06-01
Omni CultureSolutions,HR|Legal,2026-06-10
Omni OpsLogic,ERP|Medical,2026-06-01
Onyx ResourceLogic,ERP|MSP Platform,2026-06-01
Onyx StackBase,HR|MSP Platform,2026-06-02
OnyxLedger Base,ERP|Medical,2026-06-02
OnyxNodeCore,ERP|MSP Platform,2026-06-01
OnyxTalentSuite,ERP|HR,2026-06-01
OrbitPeople Hub,HR|LMS,2026-06-02
OrbitPeople Hub,HR|LMS,2026-06-03
OrbitPlanPlatform,ERP|HR,2026-06-01
OrbitTalent Hub,ERP|HR,2026-06-03
Pioneer ForgePoint,ERP|LMS,2026-06-01
Pioneer HealthSoft,LMS|Medical,2026-06-22
Pioneer OpsPlatform,ERP|Legal,2026-06-14
PioneerClause Works,LMS|Legal,2026-06-02
PioneerCounsel Soft,LMS|Legal,2026-06-01
Pivot ClauseCore,Legal|Medical,2026-06-01
Pivot CultureDynamics,HR|Medical,2026-06-11
Pivot ShiftSuite,HR|LMS,2026-06-16
PivotEndpoint Flow,LMS|MSP Platform,2026-06-02
PivotForge Core,ERP|MSP Platform,2026-06-20
PivotPatch Platform,Legal|MSP Platform,2026-06-01
PivotPatientCore,ERP|Medical,2026-06-01
PivotTriageLabs,LMS|Medical,2026-06-12
Polaris MedWorks,LMS|Medical,2026-06-03
PolarisMedDynamics,HR|Medical,2026-06-16
PolarisShiftDesk,ERP|HR,2026-06-01
Prime VitalDesk,ERP|Medical,2026-06-01
PrimeOrder Hub,ERP|Legal,2026-06-02
Quantum CourseSoft,LMS|Legal,2026-06-01
QuantumFin App,ERP|LMS,2026-06-02
QuantumGridSystems,MSP Platform|Medical,2026-06-01
QuantumShift Labs,HR|Legal,2026-06-01
QuartzDocketTech,HR|Legal,2026-06-17
QuartzFin Core,ERP|MSP Platform,2026-06-18
QuartzStock Core,ERP|MSP Platform,2026-06-01
QuartzTriage Dynamics,LMS|Medical,2026-06-02
Quartz’s CounselPlatform,Legal|Medical,2026-06-01
RapidMed Sync,HR|Medical,2026-06-09
RapidOps Flow,ERP|Medical,2026-06-03
RapidStackHub,ERP|MSP Platform,2026-06-01
Rapid’s RemoteDesk,LMS|MSP Platform,2026-06-04
Raven ClauseHub,LMS|Legal,2026-06-01
Raven LedgerPoint,ERP|Medical,2026-06-01
Raven PerformCloud,HR|LMS,2026-06-03
RavenCaseWorks,LMS|Legal,2026-07-01
RavenMentor Tech,LMS|Legal,2026-06-02
RavenRosterPoint,HR|Medical,2026-06-01
RavenTrain Point,ERP|LMS,2026-06-01
Raven’s StockLabs,ERP|MSP Platform,2026-06-01
Ridge TalentCore,ERP|HR,2026-06-03
RidgeEndpointLabs,Legal|MSP Platform,2026-06-10
RidgeLedger Dynamics,ERP|HR,2026-06-27
RidgeRxLabs,HR|Medical,2026-06-01
RidgeTalent Labs,HR|MSP Platform,2026-06-04
RidgeTeamSuite,HR|MSP Platform,2026-06-01
Ridgeway LearnFlow,LMS|Medical,2026-06-12
Ridgeway LedgerSuite,ERP|HR,2026-06-01
RidgewayMedApp,ERP|Medical,2026-06-01
RidgewayPerform Logic,HR|MSP Platform,2026-06-02
RidgewayTeam Systems,HR|Medical,2026-06-03
Sable CasePoint,LMS|Legal,2026-06-12
Sable RxPlatform,MSP Platform|Medical,2026-06-01
SableChain Hub,ERP|LMS,2026-06-02
SableChain Labs,ERP|HR,2026-06-01
SableStackApp,HR|MSP Platform,2026-06-01
SableStockSuite,ERP|HR,2026-06-02
Silver EndpointWorks,ERP|MSP Platform,2026-06-01
SilverHealthSolutions,HR|Medical,2026-06-02
Solid CarePoint,HR|Medical,2026-06-04
Solid FilingFlow,Legal|Medical,2026-06-01
Solid LedgerFlow,ERP|LMS,2026-06-01
SolidRxBase,MSP Platform|Medical,2026-06-03
SolidShift Base,HR|LMS,2026-06-01
SolidUptime Sync,ERP|MSP Platform,2026-06-28
SummitClinic Sync,Legal|Medical,2026-06-20
Tidal MedSolutions,ERP|Medical,2026-06-01
TidalChartSoft,LMS|Medical,2026-06-01
True ClinicTech,MSP Platform|Medical,2026-06-10
True FilingWorks,Legal|MSP Platform,2026-06-01
TruePayroll Works,ERP|HR,2026-06-13
Umbra BatchCore,ERP|MSP Platform,2026-07-02
UmbraCompli Base,Legal|Medical,2026-06-29
UmbraPeopleWorks,HR|LMS,2026-06-01
UmbraPulse Solutions,MSP Platform|Medical,2026-06-10
UmbraVitalCore,ERP|Medical,2026-06-01
Velo CaseTech,ERP|Legal,2026-06-02
Velo OrderDesk,ERP|Legal,2026-06-01
VeloCare Suite,MSP Platform|Medical,2026-06-02
VeloClinic Logic,Legal|Medical,2026-06-02
VeloDocket Works,Legal|Medical,2026-06-02
VeloMonitorWorks,LMS|MSP Platform,2026-06-02
VeloTalentLabs,HR|LMS,2026-06-29
Vertex CounselHub,LMS|Legal,2026-06-03
Vertex OpsPlatform,ERP|MSP Platform,2026-06-01
Vertex RemoteHub,Legal|MSP Platform,2026-06-29
VertexChainWorks,ERP|Medical,2026-06-11
VertexClause Tech,HR|Legal,2026-06-15
VertexMatter Cloud,Legal|Medical,2026-06-02
VertexOps Platform,ERP|Medical,2026-06-20
Vista PathApp,HR|LMS,2026-06-01
Vista PlanLogic,ERP|MSP Platform,2026-06-06
VistaBatch Hub,ERP|MSP Platform,2026-06-01
VistaClause Base,Legal|Medical,2026-06-01
VistaForge Sphere,ERP|Medical,2026-06-01
Willow OnboardHub,ERP|HR,2026-06-01
Willow VitalWorks,HR|Medical,2026-06-01
Xenon LearnFlow,LMS|MSP Platform,2026-06-01
Xenon OpsLogic,ERP|Legal,2026-06-01
Xenon ShiftHub,HR|Medical,2026-06-01
XenonBenefitBase,HR|Medical,2026-06-01
XenonForgePoint,ERP|Medical,2026-06-03
XenonOrderCloud,ERP|LMS,2026-06-01
Zen FinApp,ERP|HR,2026-06-01
Zen OpsDynamics,ERP|Medical,2026-06-04
ZenBatch Soft,ERP|MSP Platform,2026-06-03
ZenLedgerPlatform,ERP|Legal,2026-06-20
ZenOps Sync,ERP|LMS,2026-06-03
ZenTalentLabs,HR|LMS,2026-06-01
ZenVerdict Sync,HR|Legal,2026-06-01
Zephyr TriageSystems,ERP|Medical,2026-06-01
ZephyrMonitorSphere,Legal|MSP Platform,2026-06-01
ZephyrOnboard Core,HR|MSP Platform,2026-06-01
ZephyrStock Sync,ERP|MSP Platform,2026-06-02
ZephyrTeamSuite,HR|Legal,2026-06-01
